Ticker,Predicted Close,Real Close,Yesterday's Close,Real Increase,Predicted Increase,Real Percentage Increase,Predicted Percentage Increase,Real Minus Predicted Percentage
CHD,45.120506,47.37,47.87,-0.5,-2.7494939999999986,-0.010444955086693127,-0.05743668268226444,0.04699172759557131
CI,200.84189,195.44,197.59,-2.1500000000000057,3.251890000000003,-0.010881117465458806,0.016457766081279433,-0.02733888354673824
CINF,72.827324,72.63,72.6,0.030000000000001137,0.22732400000001007,0.0004132231404958835,0.003131184573002894,-0.0027179614325070103
CTAS,147.94748,156.6,156.35,0.25,-8.402519999999981,0.0015989766549408379,-0.05374173329069384,0.05534070994563468
CSCO,36.588493,40.34,40.17,0.1700000000000017,-3.581507000000002,0.004232013940751847,-0.08915875031117754,0.09339076425192938
C,72.21116,74.99,74.82,0.1700000000000017,-2.6088399999999865,0.002272119754076473,-0.034868217054263385,0.037140336808339856
CFG,37.891113,44.84,44.6,0.240000000000002,-6.708887000000004,0.005381165919282556,-0.15042347533632297,0.15580464125560553
CTXS,86.339615,87.6,89.12,-1.5200000000000102,-2.7803850000000097,-0.017055655296229915,-0.031198215888689516,0.0141425605924596
CME,142.05656,159.93,157.65,2.280000000000001,-15.593440000000015,0.014462416745956238,-0.09891176657151929,0.11337418331747552
CMS,50.39689,42.16,42.16,0.0,8.236890000000002,0.0,0.19537215370018982,-0.19537215370018982
KO,46.285904,44.56,44.67,-0.10999999999999943,1.6159040000000005,-0.0024625027982986217,0.03617425565256325,-0.03863675845086187
CTSH,72.522514,76.52,73.9,2.6199999999999903,-1.3774860000000047,0.03545331529093356,-0.01863986468200277,0.054093179972936334
CL,72.3044,70.17,70.41,-0.23999999999999488,1.8944000000000045,-0.003408606731998223,0.026905269137906612,-0.030313875869904836
CMCSA,36.022076,40.15,39.67,0.4799999999999969,-3.6479240000000033,0.0120998235442399,-0.09195674313082942,0.10405656667506932
CMA,78.78118,93.58,92.77,0.8100000000000023,-13.98881999999999,0.008731270884984394,-0.15079034170529257,0.15952161259027697
CAG,35.66285,35.89,35.71,0.17999999999999972,-0.047150000000002024,0.005040604872584702,-0.0013203584430132181,0.00636096331559792
CXO,140.69513,148.1,149.05,-0.950000000000017,-8.354870000000005,-0.006373700100637484,-0.05605414290506545,0.04968044280442796
COP,50.560997,55.63,55.94,-0.30999999999999517,-5.379002999999997,-0.005541651769753221,-0.09615664998212366,0.09061499821237043
