date,1. open,2. high,3. low,4. close,5. volume
2019-08-08,64.79,65.45,64.33,65.45,7427600.0
2019-08-07,64.38,64.9,63.31,64.46,10532100.0
2019-08-06,65.27,65.84,64.29,64.77,10248700.0
2019-08-05,64.98,66.12,64.54,65.23,11618800.0
2019-08-02,65.5,65.79,65.03,65.35,9653900.0
2019-08-01,66.93,67.2,65.11,65.8,13106700.0
2019-07-31,66.91,67.38,65.63,66.62,11300000.0
2019-07-30,66.92,67.53,66.26,67.18,8143700.0
2019-07-29,67.87,68.41,66.88,67.18,10117300.0
2019-07-26,67.64,69.14,67.37,67.76,12259300.0
2019-07-25,67.46,67.87,66.5,66.66,12403500.0
2019-07-24,67.77,67.89,66.76,67.46,12595300.0
2019-07-23,68.0,68.44,67.6,67.73,8025300.0
2019-07-22,68.5,68.75,67.84,68.0,9962100.0
2019-07-19,68.14,68.82,68.1,68.54,9806900.0
2019-07-18,68.57,68.95,68.0,68.25,8573300.0
2019-07-17,69.33,69.86,68.31,68.32,12205000.0
2019-07-16,70.15,70.3,69.13,69.16,10141600.0
2019-07-15,70.31,71.02,69.7,70.27,10253400.0
2019-07-12,70.3,70.3,68.54,70.28,12903100.0
2019-07-11,72.3,72.4,69.85,71.24,13001000.0
2019-07-10,71.58,71.74,70.96,71.65,9170400.0
2019-07-09,71.18,72.45,70.89,71.24,11832500.0
2019-07-08,72.52,73.0,70.88,71.22,13487400.0
2019-07-05,74.65,74.79,72.61,72.99,10854900.0
2019-07-03,74.35,74.97,73.78,74.96,7434100.0
2019-07-02,73.2,74.25,72.32,74.23,12864800.0
2019-07-01,73.5,73.85,72.28,73.4,18105500.0
2019-06-28,70.58,72.74,70.33,72.72,21381500.0
2019-06-27,68.16,70.6,68.1,70.0,22129200.0
2019-06-26,67.24,68.41,66.8,68.0,42093800.0
2019-06-25,70.47,70.67,65.06,65.7,90131800.0
2019-06-24,78.41,79.31,77.85,78.45,5182700.0
2019-06-21,78.15,79.08,76.43,78.78,10517000.0
2019-06-20,78.24,79.17,78.08,78.34,5347000.0
2019-06-19,78.4,78.48,77.29,77.61,6147300.0
2019-06-18,78.88,79.2,77.01,78.25,5433500.0
2019-06-17,78.4,79.05,78.4,78.65,3083200.0
2019-06-14,78.95,79.34,78.21,78.69,4075900.0
2019-06-13,78.93,79.2,78.3,78.95,2925000.0
2019-06-12,78.25,79.25,78.18,78.57,4165700.0
2019-06-11,77.49,78.9,77.49,78.17,4210200.0
2019-06-10,77.46,77.75,76.6,76.95,3969400.0
2019-06-07,77.49,78.38,77.08,77.43,4829100.0
2019-06-06,77.16,77.72,76.86,77.07,4032800.0
2019-06-05,77.41,78.17,76.66,77.06,3804800.0
2019-06-04,76.14,77.44,75.9,76.75,6447200.0
2019-06-03,76.63,76.84,73.81,75.7,8434400.0
2019-05-31,77.31,77.57,76.4,76.71,4003300.0
2019-05-30,78.52,78.59,77.13,77.61,3533100.0
2019-05-29,77.57,78.28,77.1,78.06,4182200.0
2019-05-28,80.0,80.1,77.92,78.03,6557800.0
2019-05-24,81.09,81.1,79.87,80.06,3873000.0
2019-05-23,80.39,81.63,80.32,81.15,3299400.0
2019-05-22,80.51,81.75,79.88,81.59,4219500.0
2019-05-21,80.33,81.5,80.32,80.88,4841900.0
2019-05-20,79.02,80.39,78.91,79.82,4395500.0
2019-05-17,78.53,80.08,78.02,79.46,4756800.0
2019-05-16,78.98,80.75,78.71,79.5,5404700.0
2019-05-15,78.51,79.15,77.48,78.78,4795700.0
2019-05-14,77.16,79.36,77.0,78.44,6365500.0
2019-05-13,76.3,77.3,76.17,76.87,3858400.0
2019-05-10,77.45,77.73,75.62,77.45,4731800.0
2019-05-09,77.51,78.13,76.73,77.91,3792400.0
2019-05-08,77.95,78.89,77.32,77.99,3820700.0
2019-05-07,78.6,78.99,77.17,77.95,4275300.0
2019-05-06,77.75,79.52,77.34,79.26,5413200.0
2019-05-03,78.72,78.8,78.25,78.71,4527300.0
2019-05-02,78.73,78.78,77.6,78.47,5206300.0
2019-05-01,79.6,79.68,78.61,78.89,5231900.0
2019-04-30,80.68,80.69,78.68,79.39,9367400.0
2019-04-29,80.46,80.98,79.91,80.3,6444500.0
2019-04-26,79.67,80.65,79.4,79.7,5790000.0
2019-04-25,80.05,80.47,76.91,79.34,10442900.0
2019-04-24,79.23,79.59,78.44,78.67,7056400.0
2019-04-23,78.15,79.66,77.75,78.66,9920600.0
2019-04-22,77.6,79.1,77.5,78.15,5358600.0
2019-04-18,78.06,78.21,76.81,77.57,7785300.0
2019-04-17,80.1,80.2,77.55,77.98,6817100.0
2019-04-16,81.11,81.3,80.02,80.21,3624800.0
2019-04-15,80.96,81.51,80.37,81.03,3495500.0
2019-04-12,80.67,81.81,79.84,80.78,5011700.0
2019-04-11,83.2,83.25,81.23,81.77,9094200.0
2019-04-10,83.2,83.38,82.6,82.95,3642000.0
2019-04-09,83.77,83.78,82.5,82.69,3712800.0
2019-04-08,83.7,84.0,82.78,83.98,3499400.0
2019-04-05,82.82,84.18,82.67,83.45,3996600.0
2019-04-04,83.04,83.38,82.07,82.81,4827900.0
2019-04-03,83.62,84.73,82.79,83.08,6083600.0
2019-04-02,80.89,83.49,80.8,83.07,6356000.0
2019-04-01,80.98,81.11,79.97,80.78,4759400.0
2019-03-29,80.08,80.9,79.96,80.59,7105900.0
2019-03-28,80.33,80.49,79.5,79.96,3082300.0
2019-03-27,81.0,81.0,79.8,79.89,4006200.0
2019-03-26,79.85,81.19,79.8,80.76,4922200.0
2019-03-25,79.5,80.04,78.41,79.51,4008400.0
2019-03-22,80.78,81.99,79.69,79.76,4992800.0
2019-03-21,79.88,81.31,79.26,81.24,5159200.0
2019-03-20,80.72,80.91,80.06,80.43,5360900.0
2019-03-19,80.33,81.29,79.51,80.82,6335500.0
2019-03-18,81.34,81.75,80.28,80.65,5550400.0
2019-03-15,80.06,81.46,79.11,81.34,12751200.0
2019-03-14,79.0,80.4,78.41,79.95,6161800.0
2019-03-13,78.92,79.3,78.15,78.93,5984700.0
2019-03-12,78.48,79.14,78.05,78.74,6128900.0
2019-03-11,77.57,78.31,77.27,78.08,8078400.0
2019-03-08,77.67,78.04,77.09,77.58,6189200.0
2019-03-07,77.77,79.12,77.44,78.24,6642500.0
2019-03-06,79.13,79.13,77.56,78.09,5293600.0
2019-03-05,79.38,79.9,78.72,78.91,5933100.0
2019-03-04,80.4,80.73,79.11,79.46,5872500.0
2019-03-01,79.77,80.85,79.28,80.1,8568000.0
2019-02-28,79.46,79.71,78.75,79.24,6310800.0
2019-02-27,80.14,80.14,78.8,79.41,4175700.0
2019-02-26,80.2,80.86,80.02,80.51,4283300.0
2019-02-25,80.46,80.62,79.88,80.29,5511800.0
2019-02-22,79.16,80.19,78.24,80.02,5022800.0
2019-02-21,79.74,79.91,78.1,78.75,6360800.0
2019-02-20,80.53,80.6,79.14,79.99,5564100.0
2019-02-19,80.5,81.52,80.23,80.52,5674700.0
2019-02-15,81.13,81.7,80.16,80.85,6295400.0
2019-02-14,80.45,80.68,79.72,80.52,3436400.0
2019-02-13,80.34,81.32,80.29,80.79,4237200.0
2019-02-12,79.99,80.12,78.57,79.93,6620100.0
2019-02-11,79.89,80.18,79.17,79.77,4803500.0
2019-02-08,79.03,79.86,78.89,79.67,4598900.0
2019-02-07,78.35,79.22,77.81,79.17,5877500.0
2019-02-06,79.6,79.89,78.79,79.08,4907200.0
2019-02-05,78.56,80.06,78.22,79.69,7965500.0
2019-02-04,80.3,80.36,77.52,78.53,10205600.0
2019-02-01,80.25,80.73,79.11,80.5,6759500.0
2019-01-31,78.95,81.31,78.71,80.29,11563900.0
2019-01-30,77.69,79.19,76.98,79.06,9277200.0
2019-01-29,77.03,78.16,75.77,77.47,13909000.0
2019-01-28,80.0,80.1,76.68,77.14,14718800.0
2019-01-25,82.51,82.61,79.43,80.54,21348700.0
2019-01-24,88.33,88.44,85.1,85.88,8372600.0
2019-01-23,88.84,89.28,87.7,88.45,4969600.0
2019-01-22,88.86,89.36,87.9,88.66,5664600.0
2019-01-18,88.45,89.79,86.92,89.5,6190000.0
2019-01-17,85.54,87.69,85.42,87.2,6438700.0
2019-01-16,85.66,86.39,85.45,85.55,4927000.0
2019-01-15,84.93,85.68,84.45,85.5,7295900.0
2019-01-14,86.97,86.97,84.49,84.76,6368900.0
2019-01-11,87.54,88.31,87.54,88.31,5318100.0
2019-01-10,87.88,88.88,87.12,88.2,6527700.0
